,config_name,precision,bits_per_weight,dynamic_calibration,weight_only,metric,value,runtime,base_metric,relative,train_run,eval_run,split
0,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_MAE,7.572810693235948,pytorch,MAE,False,1,1,train
1,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_MAE,7.615887638823317,pytorch,MAE,False,1,1,train
2,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_quantized_MAE,7.586666893618467,pytorch,MAE,False,1,1,train
3,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_MAE,7.568844732044936,pytorch,MAE,False,1,1,train
4,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_MAE,1.0001467287764165,pytorch,MAE,True,1,1,train
5,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_MAE,1.0058359329517392,pytorch,MAE,True,1,1,train
6,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_relative_MAE,1.0019767274449725,pytorch,MAE,True,1,1,train
7,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_MAE,0.9996229413383934,pytorch,MAE,True,1,1,train
8,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,train
9,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,train
10,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,train
11,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,train
12,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_median_latency,0.00018539652228355408,pytorch,median_latency,False,1,1,train
13,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_median_latency,0.00023283064365386963,pytorch,median_latency,False,1,1,train
14,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_quantized_median_latency,0.0004462283104658127,pytorch,median_latency,False,1,1,train
15,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_median_latency,0.006175775080919266,pytorch,median_latency,False,1,1,train
16,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_p95_latency,0.00019056722521781921,pytorch,p95_latency,False,1,1,train
17,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_p95_latency,0.00023938138037919997,pytorch,p95_latency,False,1,1,train
18,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_quantized_p95_latency,0.00046551730483770367,pytorch,p95_latency,False,1,1,train
19,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_p95_latency,0.006297702528536319,pytorch,p95_latency,False,1,1,train
20,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_p99_latency,0.00019652415066957472,pytorch,p99_latency,False,1,1,train
21,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_p99_latency,0.000250353179872036,pytorch,p99_latency,False,1,1,train
22,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_quantized_p99_latency,0.0004904668778181076,pytorch,p99_latency,False,1,1,train
23,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_p99_latency,0.006401420906186103,pytorch,p99_latency,False,1,1,train
24,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,train
25,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,train
26,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,train
27,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,train
28,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_median_latency,1.7186517940394377,pytorch,median_latency,True,1,1,train
29,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_median_latency,2.1583727596090756,pytorch,median_latency,True,1,1,train
30,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_relative_median_latency,4.136599095210139,pytorch,median_latency,True,1,1,train
31,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_median_latency,57.250302172186345,pytorch,median_latency,True,1,1,train
32,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_p95_latency,1.7014376824127124,pytorch,p95_latency,True,1,1,train
33,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_p95_latency,2.1372641627100606,pytorch,p95_latency,True,1,1,train
34,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_relative_p95_latency,4.15626917672102,pytorch,p95_latency,True,1,1,train
35,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_p95_latency,56.227656053815394,pytorch,p95_latency,True,1,1,train
36,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_p99_latency,1.6901783666088686,pytorch,p99_latency,True,1,1,train
37,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_p99_latency,2.153127374878733,pytorch,p99_latency,True,1,1,train
38,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_relative_p99_latency,4.218191523036564,pytorch,p99_latency,True,1,1,train
39,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_p99_latency,55.05452176910764,pytorch,p99_latency,True,1,1,train
0,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_MAE,7.651321762817038,pytorch,MAE,False,1,1,test
1,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_MAE,7.701472181031307,pytorch,MAE,False,1,1,test
2,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_quantized_MAE,7.666338829980744,pytorch,MAE,False,1,1,test
3,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_MAE,7.6490321549624625,pytorch,MAE,False,1,1,test
4,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_MAE,1.0000030561365199,pytorch,MAE,True,1,1,test
5,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_MAE,1.0065575539129052,pytorch,MAE,True,1,1,test
6,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_relative_MAE,1.0019657383401217,pytorch,MAE,True,1,1,test
7,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_MAE,0.9997038117807201,pytorch,MAE,True,1,1,test
8,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,test
9,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,test
10,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,test
11,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,1,test
12,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_median_latency,0.00019049085676670074,pytorch,median_latency,False,1,1,test
13,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_median_latency,0.00023911520838737488,pytorch,median_latency,False,1,1,test
14,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_quantized_median_latency,0.00047211162745952606,pytorch,median_latency,False,1,1,test
15,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_median_latency,0.006263265386223793,pytorch,median_latency,False,1,1,test
16,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_p95_latency,0.00019620545208454132,pytorch,p95_latency,False,1,1,test
17,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_p95_latency,0.0002450188621878624,pytorch,p95_latency,False,1,1,test
18,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_quantized_p95_latency,0.0004920756444334983,pytorch,p95_latency,False,1,1,test
19,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_p95_latency,0.006372365169227123,pytorch,p95_latency,False,1,1,test
20,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_p99_latency,0.00019938576966524124,pytorch,p99_latency,False,1,1,test
21,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_p99_latency,0.0002477926388382912,pytorch,p99_latency,False,1,1,test
22,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_quantized_p99_latency,0.0005096543207764625,pytorch,p99_latency,False,1,1,test
23,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_p99_latency,0.006636382751166819,pytorch,p99_latency,False,1,1,test
24,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,test
25,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,test
26,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,test
27,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1,1,test
28,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_median_latency,1.7325213030883124,pytorch,median_latency,True,1,1,test
29,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_median_latency,2.174761557878331,pytorch,median_latency,True,1,1,test
30,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_relative_median_latency,4.293872503345813,pytorch,median_latency,True,1,1,test
31,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_median_latency,56.964627555947075,pytorch,median_latency,True,1,1,test
32,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_p95_latency,1.7051167910387361,pytorch,p95_latency,True,1,1,test
33,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_p95_latency,2.1293280670799812,pytorch,p95_latency,True,1,1,test
34,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_relative_p95_latency,4.276366608932126,pytorch,p95_latency,True,1,1,test
35,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_p95_latency,55.3788222153876,pytorch,p95_latency,True,1,1,test
36,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_p99_latency,1.540425579679195,pytorch,p99_latency,True,1,1,test
37,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_p99_latency,1.914410040212888,pytorch,p99_latency,True,1,1,test
38,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_relative_p99_latency,3.9375154698161583,pytorch,p99_latency,True,1,1,test
39,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_p99_latency,51.27173199773896,pytorch,p99_latency,True,1,1,test
0,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_MAE,7.544616717158658,pytorch,MAE,False,1,2,train
1,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_MAE,7.584613050384907,pytorch,MAE,False,1,2,train
2,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_quantized_MAE,7.563752693569602,pytorch,MAE,False,1,2,train
3,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_MAE,7.540297285953069,pytorch,MAE,False,1,2,train
4,Int8WeightOnlyConfig,int8,8,False,True,pytorch_relative_MAE,1.000154642151477,pytorch,MAE,True,1,2,train
5,Float8WeightOnlyConfig,float8,8,False,True,pytorch_relative_MAE,1.005456769462238,pytorch,MAE,True,1,2,train
6,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_relative_MAE,1.002691409273918,pytorch,MAE,True,1,2,train
7,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_relative_MAE,0.9995820353069308,pytorch,MAE,True,1,2,train
8,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,2,train
9,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,2,train
10,Float8DynamicActivationFloat8WeightConfig,float8,8,True,False,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,2,train
11,Int8DynamicActivationInt8WeightConfig,int8,8,True,False,pytorch_quantized_model_size,206337.0,pytorch,model_size,False,1,2,train
12,Int8WeightOnlyConfig,int8,8,False,True,pytorch_quantized_median_latency,0.0001935865730047226,pytorch,median_latency,False,1,2,train
13,Float8WeightOnlyConfig,float8,8,False,True,pytorch_quantized_median_latency,0.00023652054369449615,pytorch,median_latency,False,1,2,train
