,hidden_layer_1_neurons,hidden_layer_2_neurons,hidden_layer_3_neurons,total_hidden_neurons,neurons_per_layer,activation,model_ID,config_name,precision,bits_per_weight,dynamic_calibration,weight_only,metric,value,runtime,base_metric,relative,eval_run
0,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_MAE,8.9069211032182,pytorch,MAE,False,1.0
1,197,64,35,296,"[197, 64, 35]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_MAE,8.887738095962654,pytorch,MAE,False,1.0
2,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_MAE,8.908804971546019,pytorch,MAE,False,1.0
3,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_MAE,1.0022570973917182,pytorch,MAE,True,1.0
4,197,64,35,296,"[197, 64, 35]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_MAE,1.000098517008173,pytorch,MAE,True,1.0
5,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_MAE,1.0024690809020946,pytorch,MAE,True,1.0
6,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_model_size,31137.0,pytorch,model_size,False,1.0
7,197,64,35,296,"[197, 64, 35]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_model_size,31137.0,pytorch,model_size,False,1.0
8,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_model_size,31137.0,pytorch,model_size,False,1.0
9,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_median_latency,0.0004017949104309082,pytorch,median_latency,False,1.0
10,197,64,35,296,"[197, 64, 35]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_median_latency,0.0005090869963169098,pytorch,median_latency,False,1.0
11,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_median_latency,0.007229289039969444,pytorch,median_latency,False,1.0
12,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_p95_latency,0.0004147417843341827,pytorch,p95_latency,False,1.0
13,197,64,35,296,"[197, 64, 35]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_p95_latency,0.0005514439195394516,pytorch,p95_latency,False,1.0
14,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_p95_latency,0.0073354743421077725,pytorch,p95_latency,False,1.0
15,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_p99_latency,0.00042096778750419614,pytorch,p99_latency,False,1.0
16,197,64,35,296,"[197, 64, 35]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_p99_latency,0.0006337065994739533,pytorch,p99_latency,False,1.0
17,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_p99_latency,0.008468103297054767,pytorch,p99_latency,False,1.0
18,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1.0
19,197,64,35,296,"[197, 64, 35]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1.0
20,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1.0
21,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_median_latency,2.783632069993419,pytorch,median_latency,True,1.0
22,197,64,35,296,"[197, 64, 35]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_median_latency,3.5269508213645104,pytorch,median_latency,True,1.0
23,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_median_latency,50.08445924147988,pytorch,median_latency,True,1.0
24,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_p95_latency,2.6739119731291194,pytorch,p95_latency,True,1.0
25,197,64,35,296,"[197, 64, 35]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_p95_latency,3.5552542682260486,pytorch,p95_latency,True,1.0
26,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_p95_latency,47.293071045233525,pytorch,p95_latency,True,1.0
27,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_p99_latency,2.510754439375162,pytorch,p99_latency,True,1.0
28,197,64,35,296,"[197, 64, 35]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_p99_latency,3.7795805406481517,pytorch,p99_latency,True,1.0
29,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_p99_latency,50.505831033344265,pytorch,p99_latency,True,1.0
30,197,64,35,296,"[197, 64, 35]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_MAE,9.01816787073776,pytorch,MAE,False,2.0
31,197,64,35,296,"[197, 64, 35]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_MAE,8.998547056095845,pytorch,MAE,False,2.0
