,hidden_layer_1_neurons,hidden_layer_2_neurons,hidden_layer_3_neurons,total_hidden_neurons,neurons_per_layer,activation,model_ID,config_name,precision,bits_per_weight,dynamic_calibration,weight_only,metric,value,runtime,base_metric,relative,eval_run
0,422,226,217,865,"[422, 226, 217]",elu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_MAE,9.043100355261357,pytorch,MAE,False,1.0
1,422,226,217,865,"[422, 226, 217]",elu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_MAE,9.041934697894925,pytorch,MAE,False,1.0
2,422,226,217,865,"[422, 226, 217]",elu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_MAE,9.049172039875307,pytorch,MAE,False,1.0
3,422,226,217,865,"[422, 226, 217]",elu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_MAE,0.9995371643641695,pytorch,MAE,True,1.0
4,422,226,217,865,"[422, 226, 217]",elu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_MAE,0.9994083238323949,pytorch,MAE,True,1.0
5,422,226,217,865,"[422, 226, 217]",elu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_MAE,1.0002082698682027,pytorch,MAE,True,1.0
6,422,226,217,865,"[422, 226, 217]",elu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_model_size,179679.0,pytorch,model_size,False,1.0
7,422,226,217,865,"[422, 226, 217]",elu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_model_size,179679.0,pytorch,model_size,False,1.0
8,422,226,217,865,"[422, 226, 217]",elu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_model_size,179679.0,pytorch,model_size,False,1.0
9,422,226,217,865,"[422, 226, 217]",elu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_median_latency,0.0004872320278082043,pytorch,median_latency,False,1.0
10,422,226,217,865,"[422, 226, 217]",elu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_median_latency,0.00052717249491252,pytorch,median_latency,False,1.0
11,422,226,217,865,"[422, 226, 217]",elu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_median_latency,0.01066041601006873,pytorch,median_latency,False,1.0
12,422,226,217,865,"[422, 226, 217]",elu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_p95_latency,0.0004964405379723758,pytorch,p95_latency,False,1.0
13,422,226,217,865,"[422, 226, 217]",elu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_p95_latency,0.0005353785789338871,pytorch,p95_latency,False,1.0
14,422,226,217,865,"[422, 226, 217]",elu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_p95_latency,0.010782227927120403,pytorch,p95_latency,False,1.0
15,422,226,217,865,"[422, 226, 217]",elu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_p99_latency,0.0004999334906460718,pytorch,p99_latency,False,1.0
16,422,226,217,865,"[422, 226, 217]",elu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_p99_latency,0.0005438215617323294,pytorch,p99_latency,False,1.0
17,422,226,217,865,"[422, 226, 217]",elu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_p99_latency,0.01115937843802385,pytorch,p99_latency,False,1.0
18,422,226,217,865,"[422, 226, 217]",elu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1.0
19,422,226,217,865,"[422, 226, 217]",elu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1.0
20,422,226,217,865,"[422, 226, 217]",elu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1.0
21,422,226,217,865,"[422, 226, 217]",elu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_median_latency,2.948498563103253,pytorch,median_latency,True,1.0
22,422,226,217,865,"[422, 226, 217]",elu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_median_latency,3.1901994430649148,pytorch,median_latency,True,1.0
23,422,226,217,865,"[422, 226, 217]",elu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_median_latency,64.51181263507507,pytorch,median_latency,True,1.0
24,422,226,217,865,"[422, 226, 217]",elu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_p95_latency,2.8119583766184193,pytorch,p95_latency,True,1.0
25,422,226,217,865,"[422, 226, 217]",elu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_p95_latency,3.0325127876220703,pytorch,p95_latency,True,1.0
